ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,-1
3,MAX,g5,-2
4,MIN,f6,1
5,MAX,e6,0
6,MIN,d7,2
7,MAX,c6,1
8,MIN,c7,2
9,MAX,b7,1
10,MIN,a7,3
11,MAX,a6,2
12,MIN,b6,5
13,MAX,c5,4
14,MIN,b5,6
15,MAX,a5,4
16,MIN,b4,6
17,MAX,a4,3
18,MIN,a3,5
19,MAX,a2,3
20,MIN,b3,6
21,MAX,c4,3
22,MIN,d4,5
23,MAX,e3,3
24,MIN,f4,3
25,MAX,g4,3
26,MIN,g3,4
27,MAX,f2,3
28,MIN,g1,5
29,MAX,f1,4
30,MIN,g2,6
31,MAX,f3,5
32,MIN,e2,7
33,MAX,e1,6
34,MIN,d1,899
35,MAX,c1,899
36,MIN,d2,995
37,MAX,c3,996
38,MIN,d3,997
39,MAX,c2,998
40,MIN,b1,999
