ply number,player type,move,score
1,MAX,d4,
2,MIN,c5,0
3,MAX,b4,-1
4,MIN,a5,-1
5,MAX,a4,-2
6,MIN,b5,-1
7,MAX,a6,-3
8,MIN,a7,-2
9,MAX,b7,-4
10,MIN,b6,-3
11,MAX,c6,-5
12,MIN,d7,-3
13,MAX,c7,-5
14,MIN,d6,-3
15,MAX,e7,-5
16,MIN,f7,-1
17,MAX,e6,-2
18,MIN,f6,1
19,MAX,f5,0
20,MIN,g4,2
21,MAX,f3,1
22,MIN,g3,2
23,MAX,f2,1
24,MIN,g2,3
25,MAX,g1,2
26,MIN,f1,5
27,MAX,e2,4
28,MIN,e1,6
29,MAX,d2,4
30,MIN,e3,7
31,MAX,d3,7
32,MIN,e4,899
33,MAX,d5,898
34,MIN,c4,995
35,MAX,c3,996
36,MIN,c2,997
37,MAX,b1,998
38,MIN,c1,999
