ply number,player type,move,score
1,MAX,d5,
2,MIN,e6,-2
3,MAX,d7,-4
4,MIN,c7,0
5,MAX,b6,-1
6,MIN,c6,1
7,MAX,b7,1
8,MIN,a7,1
9,MAX,a6,1
10,MIN,b5,3
11,MAX,a4,2
12,MIN,a5,2
13,MAX,b4,0
14,MIN,c5,2
15,MAX,c4,1
16,MIN,d4,3
17,MAX,c3,1
18,MIN,d3,4
19,MAX,c2,2
20,MIN,d1,4
21,MAX,e1,0
22,MIN,f2,1
23,MAX,f1,-1
24,MIN,g1,-1
25,MAX,g2,-2
26,MIN,g3,-1
27,MAX,f3,-3
28,MIN,g4,-2
29,MAX,f4,-5
30,MIN,g5,-4
31,MAX,f5,-899
32,MIN,g6,-899
33,MAX,f6,-999
