ply number,player type,move,score
1,MAX,f5,
2,MIN,g6,1
3,MAX,g5,0
4,MIN,f6,2
5,MAX,e6,1
6,MIN,d7,3
7,MAX,c7,2
8,MIN,b7,5
9,MAX,c6,3
10,MIN,d5,5
11,MAX,e4,3
12,MIN,f3,5
13,MAX,f4,3
14,MIN,g4,4
15,MAX,g3,3
16,MIN,g2,5
17,MAX,f1,3
18,MIN,e1,4
19,MAX,d1,2
20,MIN,c1,5
21,MAX,d2,3
22,MIN,e2,6
23,MAX,d3,3
24,MIN,e3,898
25,MAX,d4,898
26,MIN,c5,899
27,MAX,c4,898
28,MIN,b5,993
29,MAX,b4,994
30,MIN,a4,995
31,MAX,b3,996
32,MIN,c3,997
33,MAX,c2,998
34,MIN,b1,999
