folder,filename,heuristic1,heuristic2,board_size,games_in_tournament,tournament_number,game_number,winner,end_condition,rounds,duration_seconds
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,1,2,no_moves,26,0.372789
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,2,1,objective,40,0.506378
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,3,2,objective,40,0.264585
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,4,2,objective,30,0.237711
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,5,1,objective,23,0.242062
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,6,1,no_moves,9,0.150382
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,7,1,objective,38,0.372817
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,8,2,objective,36,0.330762
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,9,1,objective,29,0.320748
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,10,1,objective,33,0.318718
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,11,1,objective,19,0.262537
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,12,2,objective,32,0.358727
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,13,2,no_moves,26,0.330909
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,14,2,no_moves,28,0.440581
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,15,1,no_moves,43,0.451191
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,16,2,objective,34,0.297496
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,17,2,no_moves,24,0.279045
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,18,2,no_moves,26,0.373337
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,19,1,objective,31,0.265495
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,20,2,objective,36,0.374133
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,21,1,no_moves,33,0.283127
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,22,2,no_moves,34,0.39019
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,23,2,no_moves,26,0.426429
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,24,1,no_moves,25,0.308165
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,25,2,no_moves,32,0.441614
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,26,1,objective,31,0.276479
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,27,1,no_moves,29,0.4074
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,28,1,objective,31,0.315167
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,29,2,objective,36,0.369459
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,30,1,no_moves,29,0.325236
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,31,1,no_moves,9,0.150426
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,32,2,no_moves,30,0.382249
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,33,1,no_moves,23,0.290119
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,34,1,no_moves,23,0.221505
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,35,1,no_moves,25,0.28727
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,36,2,objective,16,0.196143
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,37,1,objective,33,0.341249
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,38,1,objective,19,0.278599
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,39,1,no_moves,27,0.288957
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,40,2,objective,42,0.370808
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,41,2,no_moves,38,0.326129
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,42,2,no_moves,22,0.3111
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,43,1,no_moves,9,0.142917
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,44,2,no_moves,38,0.438239
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,45,2,objective,38,0.463744
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,46,2,no_moves,38,0.318002
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,47,1,objective,15,0.231579
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,48,2,objective,16,0.205541
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,49,2,objective,32,0.44057
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,50,1,no_moves,25,0.42046
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,51,2,no_moves,30,0.311454
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,52,2,objective,44,0.314059
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,53,1,no_moves,27,0.41703
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,54,2,no_moves,38,0.402025
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,55,1,no_moves,25,0.318692
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,56,2,objective,42,0.433681
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,57,2,objective,38,0.324771
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,58,2,no_moves,26,0.324863
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,59,1,no_moves,41,0.360851
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,60,1,no_moves,29,0.334074
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,61,2,no_moves,38,0.378551
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,62,1,objective,29,0.315698
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,63,1,objective,29,0.311322
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,64,2,objective,33,0.316425
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,65,2,objective,42,0.340097
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,66,1,objective,39,0.355771
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,67,2,objective,16,0.229932
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,68,1,no_moves,27,0.296242
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,69,1,no_moves,33,0.229308
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,70,1,objective,31,0.272137
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,71,1,objective,31,0.271851
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,72,1,objective,31,0.326734
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,73,1,objective,31,0.301171
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,74,1,no_moves,9,0.150955
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,75,1,objective,31,0.307242
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,76,1,no_moves,37,0.300912
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,77,2,no_moves,32,0.291044
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,78,1,objective,25,0.305784
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,79,1,no_moves,41,0.253295
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,80,2,no_moves,24,0.27295
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,81,2,no_moves,26,0.331502
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,82,2,objective,12,0.236944
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,83,1,objective,31,0.286854
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,84,2,no_moves,22,0.307947
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,85,1,no_moves,33,0.274241
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,86,1,objective,39,0.373161
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,87,2,objective,42,0.308551
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,88,2,no_moves,42,0.302751
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,89,1,objective,31,0.318492
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,90,1,objective,26,0.23773
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,91,2,objective,29,0.359611
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,92,1,no_moves,33,0.226169
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,93,1,objective,31,0.32711
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,94,1,objective,29,0.327899
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,95,1,objective,31,0.289405
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,96,2,objective,34,0.27811
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,97,1,objective,19,0.312623
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,98,1,objective,15,0.248071
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,99,2,objective,34,0.284545
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,100,1,objective,19,0.309079
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,101,2,objective,38,0.383182
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,102,2,objective,34,0.30863
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,103,2,objective,40,0.385014
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,104,1,objective,19,0.290248
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,105,1,objective,29,0.348176
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,106,1,objective,33,0.384107
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,107,2,no_moves,42,0.317935
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,108,1,no_moves,25,0.30302
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,109,1,objective,33,0.237742
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,110,1,no_moves,43,0.369028
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,111,1,objective,33,0.36624
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,112,1,no_moves,9,0.150948
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,113,1,objective,39,0.385291
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,114,1,no_moves,43,0.466591
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,115,1,objective,31,0.318766
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,116,1,objective,19,0.259987
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,117,1,no_moves,31,0.384855
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,118,2,objective,16,0.241735
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,119,1,objective,27,0.337019
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,120,2,no_moves,26,0.309505
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,121,1,no_moves,33,0.227111
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,122,2,objective,38,0.327521
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,123,2,no_moves,24,0.287502
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,124,2,objective,32,0.443935
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,125,1,no_moves,23,0.276058
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,126,2,objective,36,0.339624
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,127,1,objective,31,0.288009
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,128,1,no_moves,31,0.421273
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,129,1,objective,41,0.334553
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,130,2,objective,34,0.377328
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,131,1,no_moves,9,0.151204
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,132,1,objective,19,0.295729
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,133,1,objective,27,0.305416
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,134,2,objective,42,0.37231
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,135,1,no_moves,37,0.352346
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,136,2,objective,40,0.376109
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,137,2,no_moves,30,0.293683
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,138,2,objective,32,0.461832
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,139,1,objective,26,0.236843
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,140,1,objective,23,0.235233
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,141,2,no_moves,26,0.300463
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,142,1,objective,29,0.265456
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,143,1,objective,31,0.284183
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,144,1,objective,19,0.359905
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,145,2,objective,42,0.447403
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,146,2,no_moves,32,0.401858
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,147,1,no_moves,33,0.310883
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,148,1,no_moves,35,0.324929
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,149,2,no_moves,26,0.300223
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,150,1,objective,19,0.283542
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,151,1,no_moves,35,0.360422
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,152,2,objective,28,0.501803
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,153,2,objective,38,0.35734
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,154,1,objective,19,0.333746
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,155,2,no_moves,26,0.315364
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,156,2,no_moves,28,0.463705
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,157,1,objective,31,0.274513
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,158,2,objective,29,0.320071
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,159,1,objective,33,0.355682
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,160,2,objective,34,0.302673
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,161,2,objective,34,0.359733
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,162,1,objective,19,0.29212
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,163,2,objective,16,0.201021
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,164,2,no_moves,34,0.299995
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,165,1,objective,43,0.317089
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,166,1,objective,19,0.264555
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,167,2,objective,33,0.344839
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,168,1,objective,35,0.320229
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,169,2,no_moves,34,0.391337
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,170,2,no_moves,26,0.352852
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,171,1,objective,19,0.20968
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,172,2,objective,40,0.401765
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,173,2,no_moves,34,0.383369
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,174,1,objective,19,0.291229
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,175,2,no_moves,38,0.336374
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,176,2,objective,34,0.341112
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,177,1,no_moves,25,0.27131
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,178,2,objective,20,0.282583
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,179,1,no_moves,25,0.293455
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,180,1,no_moves,43,0.375719
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,181,2,no_moves,36,0.285535
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,182,1,no_moves,41,0.264724
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,183,2,objective,42,0.373519
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,184,1,no_moves,43,0.496737
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,185,1,objective,31,0.265307
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,186,1,objective,27,0.364799
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,187,1,objective,17,0.290152
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,188,2,objective,34,0.388688
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,189,2,objective,40,0.39076
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,190,1,objective,21,0.191302
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,191,1,objective,19,0.302236
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,192,2,no_moves,24,0.290527
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,193,2,no_moves,38,0.325525
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,194,2,no_moves,40,0.317801
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,195,1,no_moves,17,0.276594
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,196,1,objective,31,0.337306
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,197,1,objective,31,0.313067
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,198,2,no_moves,24,0.313001
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,199,1,objective,37,0.319157
E,Ed-Ad_s_7_200-1.txt,Ed,Ad,7,200,1,200,2,no_moves,38,0.303046
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,1,1,no_moves,43,0.450285
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,2,1,objective,26,0.248209
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,3,2,no_moves,32,0.444048
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,4,1,objective,27,0.352323
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,5,2,objective,32,0.319624
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,6,2,no_moves,38,0.328463
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,7,1,objective,19,0.311646
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,8,2,no_moves,26,0.326895
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,9,1,no_moves,37,0.304559
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,10,1,objective,27,0.327416
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,11,2,no_moves,26,0.318114
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,12,2,objective,38,0.439159
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,13,1,no_moves,37,0.334607
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,14,2,no_moves,26,0.305599
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,15,2,no_moves,32,0.421651
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,16,1,objective,23,0.306489
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,17,1,objective,31,0.260194
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,18,1,no_moves,33,0.265218
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,19,2,no_moves,26,0.305427
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,20,1,no_moves,29,0.219974
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,21,1,objective,33,0.382254
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,22,1,objective,33,0.360617
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,23,1,objective,19,0.300956
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,24,1,no_moves,43,0.378156
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,25,1,objective,37,0.356333
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,26,2,objective,12,0.201528
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,27,1,objective,31,0.295821
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,28,2,no_moves,26,0.378682
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,29,2,objective,34,0.370673
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,30,1,no_moves,33,0.324836
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,31,2,objective,34,0.373429
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,32,2,objective,36,0.367669
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,33,1,objective,27,0.36165
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,34,2,no_moves,26,0.382828
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,35,2,no_moves,24,0.306991
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,36,1,objective,41,0.330681
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,37,1,objective,31,0.27321
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,38,1,objective,29,0.28105
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,39,1,no_moves,43,0.469929
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,40,2,objective,34,0.271053
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,41,1,objective,19,0.314351
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,42,2,objective,30,0.522554
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,43,2,no_moves,32,0.288653
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,44,1,objective,35,0.34052
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,45,2,objective,30,0.44823
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,46,2,objective,38,0.311193
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,47,1,objective,19,0.256237
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,48,1,objective,31,0.2897
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,49,2,no_moves,38,0.359385
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,50,1,objective,29,0.318193
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,51,2,objective,34,0.321852
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,52,2,objective,32,0.337366
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,53,1,no_moves,29,0.300046
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,54,2,no_moves,34,0.362003
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,55,2,objective,38,0.409221
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,56,1,no_moves,23,0.25022
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,57,1,objective,31,0.286367
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,58,1,no_moves,35,0.313648
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,59,1,no_moves,33,0.35421
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,60,1,no_moves,37,0.327473
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,61,2,no_moves,32,0.339569
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,62,1,no_moves,39,0.291258
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,63,1,objective,17,0.267064
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,64,1,no_moves,33,0.302716
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,65,2,no_moves,20,0.227763
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,66,1,objective,33,0.265728
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,67,1,no_moves,39,0.339753
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,68,2,objective,29,0.314644
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,69,1,no_moves,33,0.240533
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,70,2,no_moves,38,0.370757
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,71,1,no_moves,43,0.476678
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,72,1,no_moves,27,0.281688
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,73,1,no_moves,43,0.483075
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,74,2,no_moves,30,0.33553
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,75,1,objective,25,0.413103
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,76,2,no_moves,34,0.400203
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,77,1,no_moves,33,0.272749
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,78,2,objective,29,0.31275
E,Ed-Ad_s_7_200-2.txt,Ed,Ad,7,200,2,79,2,objective,30,0.457813
